Team,TopSpeed,MeanSpeed
Alpine,298.0,227.9604435048933
Aston Martin,285.0,222.99819218046963
Audi,290.0,229.16991964639607
Cadillac,289.0,220.03831072342302
Ferrari,316.0,231.27013072464803
Haas F1 Team,304.0,226.54543654948247
McLaren,288.0,231.67148303747055
Mercedes,301.0,231.1513906247805
Racing Bulls,296.0,227.19147046812796
Red Bull Racing,297.0,228.13309561418663
Williams,289.0,227.1951509351198
